id,smiles,true
CHEMBL15739,n1[nH]c2c(c1)cc(cc2)OC,-2.5680792565
CHEMBL16164,c12nc(cnc1cncn2)C,-1.0482908148
CHEMBL277497,o1c2c(c3c1cccc3)cccc2,-2.4142073201
CHEMBL276311,C1(=O)[C@@H](CC[C@H](C1)C)C(C)C,-2.585192967
CHEMBL15799,CC1=CC[C@H](C(=C)C)CC1,-3.6960376655
CHEMBL16347,c1(c(c(c(c(c1C)C)C)C)C)C,-3.6740119808
CHEMBL277500,c1ccccc1,-3.0526730494
CHEMBL16396,C1=CCCCC1,-3.5138864499
CHEMBL16028,C1=C(C(=CC(=O)C1=O)C)C,0.0377487216
CHEMBL16435,C(=O)(c1ccccc1)OC,-2.0509039255
CHEMBL276542,c1(=O)occ(cc1)Cc1ccccc1,-1.5924413888
CHEMBL278224,c1(oc(=O)ccc1CC)Cl,-1.5231636638
CHEMBL16638,c1(cc(=O)occ1)c1ccccc1,-1.4129074297
CHEMBL277286,c1ccc2c(c1)CC(=O)N(C2=O)N,-1.740743154
CHEMBL279554,n1c(cc(c(c1)O)CN)C(C)(C)C,-2.810275594
CHEMBL274930,S(=O)(=O)(C=C)OCCCl,-1.6147411785
CHEMBL17174,c1([nH]c(=O)[nH]c1CC)C(=O)OC,-2.2672389014
CHEMBL17001,c1(ccc(c(c1)O)O)/C=C/C(=O)OC,-1.7382167751
CHEMBL17929,[nH]1c(=O)[nH]oc1=O,-2.8821525446
CHEMBL441220,c1(=O)sc2c([nH]1)cccc2CCN,-2.8782210629
CHEMBL17750,[n+]1(cc([C@H]2N(N=O)CCC2)ccc1)[O-],-2.2037029877
CHEMBL17653,N1(C(=O)O[C@H](C1)CO)n1cccc1,-2.8006677895
CHEMBL17610,N1=N[C@H](NN/C/1=C\CC)CCC,-1.6127762576
CHEMBL18048,N1=N[C@H](NNC1=C)C,-1.4075356935
CHEMBL17878,c12c(C[C@@H](c3c1cccc3)C)c[nH]n2,-2.7440834797
CHEMBL274752,C1(=C[C@@H]2CN(C1)CC2)/C=N\OC,-2.3299303308
CHEMBL280450,C1(=CCCN(C1)C)/C=N\OC,-2.3497749656
CHEMBL278205,C1(=C[C@H]2CN(C1)CC2)/C(=N/OC)/C#N,-1.4334228857
CHEMBL278715,C1(=CC(=O)C(O1)(C)C)c1ccccc1,-1.5408076436
CHEMBL19155,[C@]12(C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)C=O,-2.3382001072
CHEMBL18278,O=C[C@H]([C@H](CC)C)C,-2.4387015791
CHEMBL273782,O=CC(CC)CC,-2.411261103
CHEMBL18620,O=C1CCCC1,-2.5527630226
CHEMBL18663,N(C(=O)C)(C(=O)C)CCC(=O)C,-2.5418697516
CHEMBL274711,O=CC1CCCC1,-2.3665919336
CHEMBL19403,C1(=C(C(=O)C1=O)N)Nc1cnccc1,-2.0123850977
CHEMBL18735,c1([nH]cnc1)[C@H]1[C@@H](NCC1)C,-3.6494881931
CHEMBL418734,[nH]1c(cnc1)C[C@@H](N)COC,-3.6965298524
CHEMBL283327,s1nc2c(n1)cccc2,-1.1615448991
CHEMBL283723,C1=CCC[C@@H](C[C@@H](N)C)C1,-3.4838484118
CHEMBL19931,n1(oc(=O)c2c1cccc2)C(=O)C,-1.6502333117
CHEMBL278826,n1c(onc1C)/C=N/O,-1.3593378232
CHEMBL19205,s1nc(cn1)/C=N/O,-1.5987266873
CHEMBL20122,c1(nsnc1C)/C=N/O,-1.6465621311
CHEMBL19943,[nH]1c(N2CCNCC2)cccc1=O,-2.3309504657
CHEMBL262700,C(=C\C(=O)CC(C)C)\C=C\C(=O)CC,-0.8298038272
CHEMBL20513,[NH+](=C(\NCCC(=O)[O-])/N)/C(=O)C,-2.1907047763
CHEMBL21110,C(=[NH2+])(N[C@@H](CC(=O)[O-])C)N,-3.0011197556
CHEMBL283800,[O-]C(=O)CN(C)C(=[NH2+])N,-2.6797294715
CHEMBL278524,c1([nH]c(CC(=O)[O-])cc1)C(=[NH2+])N,-1.85582061
CHEMBL21056,c1(n(CCC(=O)[O-])ccc1)C(=[NH2+])N,-1.990785368
CHEMBL20949,C(=[NH2+])(NC[C@@H](C(=O)[O-])O)N,-3.0528624707
CHEMBL21181,[P@@](=O)(CCNC(=[NH2+])N)([O-])O,-2.7716537192
CHEMBL21487,[nH]1c(=S)[nH]cc1CCNC(=N)N,-3.1520614729
CHEMBL21322,N1C=NC/C(=N/OCC)/C1,-3.0632675469
CHEMBL440648,[C@]1([C@@H](C1)CP(=O)(O)O)(C(=O)O)N,-2.3368850026
CHEMBL282715,C(=[NH+][C@H](C(=O)[O-])C(C)C)(NN)NN,-2.5443485782
CHEMBL277474,c1(=O)n(n(c(c1)C)C)c1ccccc1,-2.6545637822
CHEMBL21528,C(=[NH2+])(NNC(C)C)NNCC(=O)[O-],-2.6177148906
CHEMBL21301,C(=N)(N/N=C/C(=O)OC)N,-1.4773911901
CHEMBL22063,C(=[NH+]\N=C(C)C)(/NNCC(=O)[O-])\N,-2.5531827253
CHEMBL21276,C(=[NH2+])(N(CC(=O)[O-])N)N,-2.7137071528
CHEMBL21834,C1(=CCC[C@H](C1)[C@H](OC)C)/C=N/O,-2.4344273147
CHEMBL279667,C(=[NH2+])(N/N=C/C(=O)[O-])N,-1.7059899453
CHEMBL21340,C(=[NH+]\N)(/NCC(=O)[O-])\NCCO,-2.6070463496
CHEMBL21446,c1(N/C(=[NH+]/N)/NCC(=O)[O-])cc[nH]n1,-2.4034652238
CHEMBL21325,C1(=CC=CCC1)/C=N/O,-1.8851701908
CHEMBL21951,C(=N)(C(=[NH2+])N)NCC(=O)[O-],-1.26901854
CHEMBL21923,C(=[NH+]CC(=O)[O-])(NN)NN,-2.5736070682
CHEMBL21696,n1(c(nnc1)N)NCC(=O)O,-2.5745297422
CHEMBL278554,c1([nH]nc([nH][nH+]1)C)NCC(=O)[O-],-2.1293632545
CHEMBL21672,N1[C@@H](c2c(C1)cccc2)c1ccccc1,-3.1194844788
CHEMBL22072,c1(n[nH]c(=O)[nH][nH]1)NCC(=O)O,-2.8058662445
CHEMBL279043,C(=[NH2+])(N(/N=C/C(=O)[O-])C)N,-1.9920633237
CHEMBL277444,C1(=[NH+]NCCN1N)NCC(=O)[O-],-2.4195659528
CHEMBL21896,C(=[NH+][C@H](C(=O)[O-])C)(NN)NN,-2.4990116519
CHEMBL21695,n1c([nH]ncc1=O)N,-1.7649224092
CHEMBL283551,C1(=C[C@H]2C=C[C@@H]1CC2)/C=N/O,-2.3353025121
CHEMBL21619,n1c(cccc1)N,-2.7230926666
CHEMBL22720,[nH]1c(=O)c(=O)[nH]c2c1cc(c(c2)C)C,-1.6021528655
CHEMBL22976,n1c(cccc1C)C,-2.6061952242
CHEMBL25541,n1cc(ccc1)N,-2.6295127796
CHEMBL276980,c12oc(=O)[nH]c1ccc1c2nccc1,-1.9105466708
CHEMBL671,S=P(N1CC1)(N1CC1)N1CC1,-2.9894281136
CHEMBL22567,c12c(=O)[nH]c(nc1CC[C@@H](C2)CO)N,-2.6455713257
CHEMBL23901,n1(nncc1C)[C@H]1CN2CC[C@@H]1CC2,-3.0860044012
CHEMBL282046,[N+]1(=c2n(C(=O)CC1=O)ccs2)CC,-0.8510792996
CHEMBL279677,n12c(=NC(=O)[C@@H](C1=O)CC)scc2,-1.4900876568
CHEMBL23242,n12c(=NC(=O)[C@H](C1=O)CC)nccc2,-0.840720031
CHEMBL25988,C(=S)(N/N=C/c1ncccc1)N,-1.6744819542
CHEMBL25880,c1(c2c(nc(n1)N)nc[nH]2)[S@@](=O)N,-1.5746682793
CHEMBL278338,[N+]1(=c2n(C(=O)[C@H](C1=O)C)ncn2C)C,-1.1584738304
CHEMBL284348,n1ccc(cc1)N,-3.0621613471
CHEMBL24479,n1ccc(NCCO)cc1,-2.9791397789
CHEMBL284127,C1(=O)[C@H](C(=O)C=C(O1)C)C(=O)C,-1.4604262218
CHEMBL26064,c1(nc(c[nH]1)CCN)c1sccc1,-2.3717695847
CHEMBL26218,n1(c(=O)n(sc1=O)C)CC,-1.317469257
CHEMBL281380,n1(Nc2ccc(cc2)OC)cccc1,-2.9250546385
CHEMBL24864,n1(/N=C/2\C=CC(=O)C=C2)cccc1,-0.2127167848
CHEMBL24959,c1(=S)n(Cc2cnccc2)cc[nH]1,-2.5809127626
CHEMBL24743,C(=O)(c1c(O)cccc1)c1ccccc1,-1.2340982871
CHEMBL27549,C12=C(NC(=O)CC2)CCc2c1cccc2,-2.6638828008
CHEMBL280712,C1(C(=O)CCC1=O)c1ccccc1,-2.2352068789
CHEMBL280995,C1(=O)C(C(=O)c2c1cccc2)CC=C,-1.1570798003
CHEMBL441227,C(=O)(CNC1CC1)[C@@H](N)CCCC,-2.4912485672
CHEMBL28341,C1(=O)O[C@H]([C@H](C1)OC(=O)C)CO,-3.0524599884
CHEMBL287399,c12c(cccn1ccn2)c1ccccc1,-2.1265204126
CHEMBL27097,c12C(=CCCn1ccn2)c1ccccc1,-2.3676713434
CHEMBL27596,[nH]1c2nc(ccc2[nH]c(=O)c1=O)OC,-1.4833139163
CHEMBL26029,c12c([n+](on2)[O-])c(nc(n1)N)N,-0.7702356061
CHEMBL441027,C(=NCCC)=O,-2.2404134454
CHEMBL26886,C(=NC1CCCCC1)=O,-2.2185725416
CHEMBL282411,S(=O)(=O)(O[C@@H](CON)CN)C,-2.0011237908
CHEMBL281956,n1c2cc(N(C)C)ccc2ccc1C,-2.2631047212
CHEMBL26191,n1(C(=C)C)cncc1,-2.8127778251
CHEMBL281983,c12c(ccc(c1)N)c(ccn2)C,-2.184766105
CHEMBL26683,N1C(=O)C[C@@H](c2ccc(cc2)Cl)C1,-3.0464321528
CHEMBL27347,N1=C(c2ccccc2)CCCC1=O,-1.1895180281
CHEMBL27123,N1(N=CCCC1)c1ccccc1,-3.1550852628
CHEMBL283696,N1(NCCCC1)c1ccccc1,-3.1545329227
CHEMBL283470,C1(=O)N[C@@H](C(=O)O)C[C@H](N1)CO,-2.6651493986
CHEMBL285794,c1(c2c(ccc1N)cncc2)CCC,-2.2954795404
CHEMBL29442,[nH+]1c(c2c(cc1[O-])ccc(c2)OC)C,-1.6438766863
CHEMBL28919,[C@]1(c2c(CCC1=O)cccc2)(N)C,-2.698980581
