id,smiles,pot
2.3.19,Cn2c(/C=N/N1CCCCC1)cnc2N(=O)=O,-0.376
2.3.20,O=C(O)Cn1ccnc1N(=O)=O,-0.447
2.3.21,O=N(=O)c1nccn1CCO,-0.398
2.3.22,O=N(=O)c1cn(CCO)c(N(=O)=O)n1,-0.238
2.3.23,Cc1cnc(N(=O)=O)n1CCO,-0.423
2.3.24,CC(=O)Cn1ccnc1N(=O)=O,-0.358
2.3.25,COC(=O)Cn1ccnc1N(=O)=O,-0.355
2.3.26,O=N(=O)c1nccn1CC(O)CCl,-0.384
2.3.27,O=N(=O)c1nccn1CC(O)CF,-0.383
2.3.28,COCCn1ccnc1N(=O)=O,-0.393
2.3.29,O=N(=O)c1nccn1CC(O)CO,-0.389
2.3.30,CS(=O)(=O)CCn1ccnc1N(=O)=O,-0.368
2.3.31,CC(=O)OCCn1ccnc1N(=O)=O,-0.42
2.3.32,O=C(Cn1ccnc1N(=O)=O)NCCO,-0.388
2.3.33,CCOC(=O)Cn1c(CC)cnc1N(=O)=O,-0.388
2.3.34,CCOCCn1ccnc1N(=O)=O,-0.4
2.3.35,COCC(O)Cn1ccnc1N(=O)=O,-0.363
2.3.36,CCS(=O)(=O)CCn1ccnc1N(=O)=O,-0.368
2.3.37,O=C(Cn1ccnc1N(=O)=O)NCC(O)CO,-0.392
2.3.38,C=CCOCC(O)Cn1ccnc1N(=O)=O,-0.391
2.3.39,O=C(Cn1ccnc1N(=O)=O)N(CCO)CCO,-0.398
2.3.40,O=N(=O)c1nccn1CCOc2ccccc2,-0.391
2.3.41,O=N(=O)c1nccn1CCS(=O)(=O)c2ccccc2,-0.367
2.3.42,O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,-0.38
2.3.43,O=N(=O)c1nccn1CCCOc2ccccc2,-0.409
2.3.45,O=N(=O)c1nccn1CCN2CCOCC2,-0.39
2.3.47,O=N(=O)c1nccn1CCCN2CCOCC2,-0.386
2.3.48,O=N(=O)c1nccn1CCCCN2CCOCC2,-0.396
2.3.50,O=N(=O)c1nccn1CCCCCN2CCOCC2,-0.399
2.3.51,O=N(=O)c1nccn1CCCCCCN2CCOCC2,-0.379
2.3.54,O=N(=O)c1nccn1CCN2CCCC2,-0.334
2.3.55,O=N(=O)c1nccn1CCCCN2CCCC2,-0.389
2.3.56,O=N(=O)c1nccn1CCN2CCCCC2,-0.325
2.3.57,O=N(=O)c1nccn1CCCN2CCCCC2,-0.353
2.3.58,O=N(=O)c1nccn1CCCCN2CCCCC2,-0.386
2.3.59,O=N(=O)c1nccn1CCCCCCN2CCCCC2,-0.399
2.3.60,O=N(=O)c1nccn1CCc2ccccn2,-0.395
2.3.61,O=N(=O)c1nccn1CCNc2ccccc2,-0.398
2.3.62,CC(C)N(CCn1ccnc1N(=O)=O)C(C)C,-0.272
2.3.63,O=N(=O)c1nccn1CC(O)CN2CC2,-0.398
2.3.64,CN(C)CC(O)Cn1ccnc1N(=O)=O,-0.351
2.3.65,CCN(CC)CC(O)Cn1ccnc1N(=O)=O,-0.349
2.3.66,O=N(=O)c1nccn1CC(O)CN(CCO)CCO,-0.369
2.3.67,CC(C)(C)NCC(O)Cn1ccnc1N(=O)=O,-0.348
2.3.68,O=N(=O)c1nccn1CC(O)CNCc2ccccc2,-0.353
2.3.69,COc2ccc(NCC(O)Cn1ccnc1N(=O)=O)cc2,-0.391
2.3.73,CCN(CC)CC(O)Cn1ccnc1N(=O)=O,-0.352
2.3.74,O=N(=O)c1nccn1CC(O)CN2CCCCC2,-0.346
2.3.75,O=N(=O)c1nccn1CC(O)CN2CCCC(O)C2,-0.357
2.3.76,O=N(=O)c1nccn1CC(O)CN2CCOCC2,-0.38
2.3.77,CN2CCN(CC(O)Cn1ccnc1N(=O)=O)CC2,-0.37
2.4.1,O=N(=O)c1c[nH]cn1,-0.527
2.4.3,Cc1c(N(=O)=O)ncn1C,-0.542
2.4.4,Cn1cnc(N(=O)=O)c1Br,-0.523
2.4.5,Cn1cnc(N(=O)=O)c1Cl,-0.517
2.4.7,Cn1cnc(N(=O)=O)c1S,-0.538
2.4.8,Cn1cnc(N(=O)=O)c1S(N)(=O)=O,-0.395
2.4.9,Cn1cnc(N(=O)=O)c1S(C)(=O)=O,-0.355
2.4.10,Cn1cnc(N(=O)=O)c1SCC(=O)O,-0.545
2.4.11,CN(C)S(=O)(=O)c1c(N(=O)=O)ncn1C,-0.409
2.4.12,CC(=O)NS(=O)(=O)c1c(N(=O)=O)ncn1C,-0.523
2.4.13,CN(C)CNS(=O)(=O)c1c(N(=O)=O)ncn1C,-0.402
2.4.14,Cn1cnc(N(=O)=O)c1S(=O)(=O)N2CCOCC2,-0.406
2.4.16,Cn1cnc(N(=O)=O)c1Oc2ccccc2,-0.56
2.4.17,Cn1cnc(N(=O)=O)c1Oc2ccc(O)cc2,-0.565
2.4.18,Cn1cnc(N(=O)=O)c1S(=O)(=O)c2ccccc2,-0.376
2.4.19,Cn1cnc(N(=O)=O)c1S(=O)(=O)Oc2ccccc2,-0.342
2.4.22,Cn1cnc(N(=O)=O)c1S(=O)(=O)Nc2ccccc2,-0.398
2.4.24,Cc1ccccc1NS(=O)(=O)c2c(N(=O)=O)ncn2C,-0.426
2.4.32,Cn1cc(N(=O)=O)nc1Br,-0.515
2.4.34,Cn1cc(N(=O)=O)nc1N(=O)=O,-0.243
2.4.35,Cn1cc(N(=O)=O)nc1S(C)(=O)=O,-0.446
2.4.39,COCC(O)Cn1cc(N(=O)=O)nc1C,-0.564
2.4.40,O=N(=O)c2cn(CCN1CCOCC1)cn2,-0.554
2.4.42,CN1C=NC(N(=O)=O)C1=O,-0.439
2.4.43,O=N(=O)c1ncn2CCS(=O)(=O)c12,-0.335
2.4.44,Cn1cnc(N(=O)=O)c1Sc2ccccc2,-0.501
2.5.1,Cn1cnc(Br)c1N(=O)=O,-0.46
2.5.3,Cn2cnc(S(=O)(=O)N1CCOCC1)c2N(=O)=O,-0.334
2.5.4,Cn1cnc(S(N)(=O)=O)c1N(=O)=O,-0.336
2.5.5,Cn2cnc(S(=O)(=O)c1ccccc1)c2N(=O)=O,-0.324
2.5.6,Cn2cnc(S(=O)(=O)Oc1ccccc1)c2N(=O)=O,-0.259
2.5.8,Cn1c(N(=O)=O)cnc1N(=O)=O,-0.178
2.5.9,Cn1c(C=O)ncc1N(=O)=O,-0.36
2.5.10,Cc1ncc(N(=O)=O)n1C,-0.475
2.5.11,COSc1ncc(N(=O)=O)n1C,-0.361
2.5.12,Cn1c(N(=O)=O)cnc1S(C)(=O)=O,-0.351
2.5.14,Cc1ncc(N(=O)=O)n1CCOP(=O)([O-])[O-],-0.509
2.5.15,Cc1ncc(N(=O)=O)n1CCO,-0.486
2.5.16,Cc1ncc(N(=O)=O)n1CC(O)CCl,-0.467
2.5.19,COC(=S)NCCn1c(C)ncc1N(=O)=O,-0.498
2.5.20,COCC(O)Cn1c(C)ncc1N(=O)=O,-0.479
2.5.21,CCS(=O)(=O)CCn1c(C)ncc1N(=O)=O,-0.464
2.5.22,O=N(=O)c1cncn1CCN2CCOCC2,-0.457
