codes,CHG,smiles,pot
CHEMBL120799,0,Fc1ccc(-c2c(-c3ccccn3)nn3c2CCC3)cc1,-2.46476476779717
CHEMBL1208571,0,CC(C)COC[C@H](CC(C)C)NC(=O)[C@H]1O[C@@H]1C(=O)O,-2.44755019247365
CHEMBL1210917,0,CCCC#CC#CC#CCCCCCC(O)C(=O)O,-2.5680338172852
CHEMBL1213123,0,O=C=NCCOc1ccc(Oc2ccccc2)cc1,-2.85252580041122
CHEMBL1214446,0,O=C(N[C@H]1COC1=O)c1ccc(-c2ccccc2)cc1,-1.91485410862794
CHEMBL1214519,0,COc1ccc(C(=O)Nc2cccc(C)c2)cc1,-2.1694423904042
CHEMBL1215310,0,CC(=O)Nc1ccc(O)c(C(=O)/C=C/c2ccccc2F)c1,-0.947067652827945
CHEMBL122055,0,O=C(O)c1ccc(-c2c(F)cccc2F)cc1,-1.71413160196383
CHEMBL1240990,0,OCCN(CCO)Cc1ccc(F)cc1F,-2.89300128148229
CHEMBL124428,0,NC(=O)CC(c1ccccc1)c1c[nH]c2c(O)nc(N)nc12,-3.57979686296006
CHEMBL124609,0,CC(=O)c1ccc(NC(=O)C(C)(C)c2ccccc2N)cc1,-1.81766232821257
CHEMBL124918,0,CN(C)[C@@H]1Cc2ccccc2[C@@](C)(c2ccccc2)C1,-3.20082878757233
CHEMBL1253204,0,Cc1cccc(C2=NN(C(N)=S)CC2)c1,-2.00720785176223
CHEMBL1255822,0,O=C(Nc1ccccc1)OCCCc1cccnc1,-3.03281210109735
CHEMBL1256158,0,CN(C)c1ccc(/C=N/NC(=O)c2cc(Cl)c[nH]2)cc1,-2.05404095849076
CHEMBL1256339,0,Oc1ccc2c(c1)Oc1ccccc1N=C2,-1.88083625174996
CHEMBL1256516,0,N[C@@H](Cc1cc(O)c(O)cc1O)C(=O)O,-2.50906042898673
CHEMBL1257586,0,COc1cccc(Cn2c(=O)oc3ccc(OC)cc32)c1,-2.99475263432065
CHEMBL12678,0,CC(C)c1cn2c(=O)c3cc(C(=O)O)ccc3nc2s1,-1.66771009472439
CHEMBL1269061,0,CCC(C)OC(=O)c1cc2c(cn1)[nH]c1ccccc12,-2.03060906497359
CHEMBL1269778,0,O=C(O)/C(O)=C/C(=O)c1c[nH]c2cccc(O)c12,-0.637203688099821
CHEMBL1270038,0,C#Cc1ccc2[nH]c3cnc(C(=O)OC(C)(C)C)cc3c2c1,-2.04112669828572
CHEMBL1271362,0,COc1cc(O)c(C)c(O)c1C(=O)/C=C/c1ccccc1,-1.08887468814383
CHEMBL127523,0,Cc1cn([C@H]2C[C@H](CF)[C@@H](CO)O2)c(=O)[nH]c1=O,-2.06122493147433
CHEMBL1275879,0,COC(=O)/C=C1\OC(=O)C(c2cccs2)=C1O,-0.385781747581871
CHEMBL1275966,0,O=C1NOC[C@H]1NS(=O)(=O)c1ccccc1,-2.05299554144508
CHEMBL128137,0,Cc1cccc(C)c1OCCOC1CCCCO1,-3.38189650805817
CHEMBL128777,0,CNC(=O)Oc1ccc(NC(C)=O)cc1,-3.52590106747929
CHEMBL1288620,0,CCCCOc1ccc2ccc(=O)oc2c1C(C)=O,-1.70712892949767
CHEMBL1288788,0,COc1ccc(C(=O)n2nnc3ccccc32)cc1,-1.47042409072167
CHEMBL128949,0,Cc1ccc(Cc2cc(C(=O)O)[nH]n2)cc1,-1.9086539671642
CHEMBL129677,0,Cc1cccc(-c2[nH]ncc2-c2ccnc3ccccc23)n1,-1.90787624262789
CHEMBL1299682,0,Cc1ccc(F)cc1NC(=O)c1cccc(N(C)C)c1,-2.05200765681604
CHEMBL1300243,0,CC1=C(C)C(=O)C(N2CCOCC2)=CC1=O,-0.348520823974687
CHEMBL1300406,0,COC(=O)/C(C(C)=O)=C(\C=C\N(C)C)N(C)C,-1.76538642799026
CHEMBL1305892,0,CC(C)c1ccc(C(=O)NCc2ccc(Cl)cc2)cc1,-2.15904890616582
CHEMBL1307754,0,COc1ccc(Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,-0.489079778285479
CHEMBL1308107,0,Cc1cc(C)c(C)c(S(=O)(=O)NC(C)C(=O)O)c1C,-1.9145121138625
CHEMBL1308405,0,Cc1nccn1CCc1nc(N)nc(N)n1,-2.6842710582054
CHEMBL1309256,0,CN(C)c1cccc2c(C#N)ccc(N(C)C)c12,-2.06004075727539
CHEMBL1309324,0,Cc1cc(-n2ccnc2)n2c(nc3ccccc32)c1C#N,-1.39198333293897
CHEMBL1309456,0,Cc1cccc(N=C(S)NCc2ccco2)n1,-2.38421186869341
CHEMBL1309584,0,CNC(=O)COc1ccc(C=O)cc1OC,-1.62707546624799
CHEMBL1309607,0,COc1cccc(-c2nc3ccccc3s2)c1,-1.77066489041225
CHEMBL1309946,0,Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,-1.33204070636677
CHEMBL131134,0,N#CN/C(N)=N\c1cccc(C(=O)O)c1,-1.68405314521438
CHEMBL1312031,0,CCOc1ccccc1N=C(S)Nc1ncccc1C,-2.40743282811026
CHEMBL131252,0,CCCC(=O)NCC1CCc2cccc3ccc(OC)c1c23,-2.42171439290654
CHEMBL1313101,0,Cc1ccc(NC(=O)c2ccc([N+](=O)[O-])o2)cc1C,-0.20822803112296
CHEMBL1313152,0,c1ccc(OCc2nnnn2-c2ccccc2)cc1,-2.31296937757641
CHEMBL1313474,0,CC(=O)c1nnn(-c2ccccc2C#N)c1C,-1.91713520141322
CHEMBL131445,0,O=C(/C=C1\CCc2ccc(F)cc21)Nc1ccccc1,-1.68581744847879
